Name,Overview,Duration,Min_req,Branch/Intake,Career Prospects,Fees,,
Diploma in Accounting,"This programme provides students with broad base knowledge in financial accounting & reporting, management accounting, finance, economics, management, taxation, auditing, law and information technology & systems. It provides a wide spectrum of knowledge and skills necessary for a career in accountancy and finance at the semi-professional level as well as for graduates of this Diploma to further their education and training to be qualified professional accountants.","
 Duration:2 years","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language
","Intake:June and November 
KL Main Campus (R/344/4/0286)(08/23)(MQA/FA 10789), Penang (R/344/4/0304)(09/23)(MQA/FA 10815), Perak (R/344/4/0314)(09/23)(MQA/FA 10853), Johor (R/344/4/0410)(09/23)(MQA/FA 10857), Sabah (R/344/4/0529)(12/23)(MQA/FA 10818) and Pahang (R/344/4/0369)(12/23)(MQA/FA 10788) Branch Campuses","Graduates of Diploma in Accounting can find gainful employment in the following areas:

Accounting
Auditing
Taxation
Administration & Finance in Public Practice
Commerce and Industry at the Sub-professional Level
Finance Industry & etc","Estimated Total Fees: RM18,000 (Malaysian Student), RM33,900 (International Student) The estimated total fees may vary by 10%.",,
Diploma in Advertising,"This programme encompasses the basic knowledge and practical skills of advertising, media and communication. This programme aims not only to produce advertising personnel who can apply the relevant skills in the field of advertising, but also to offer students a greater depth of knowledge and practical skills in terms of management and persuasive communication, preparing students to join a competitive and dynamic industry.","
 Duration:2 years","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
","Intake:June and November 
Kuala lumpur Main Campus (R/342/4/0072)(08/23)(AA 0082)","Career Prospects:
Advertising Account Executive
Media Buyers
Media Planners
Advertising & Promotion Personnel
Social Media Executives
Brand Executives and Copywriters
Multimedia Content Creator
Copywriter
Market & Consumer Analyst","Estimated Total Fees: RM18,300 (Malaysian Students), RM34,600 (International Students)
The estimated total fees may vary by 10%.",,
Diploma In Aquaculture,"This programme provides students with the scientific knowledge and skills in aquaculture and forms a link for those who wish to embark on a career in aquaculture industries. The programme covers a wide range of topics in aquaculture setup, water quality, system preparation, feed and nutrition, seed production and nursery, harvesting, aquaponics etc.
This programme also offers hands-on practices, fieldwork, industrial visit and prepares graduates with aquaculture skills and techniques, as well as analytical skills in laboratories, leading to the professionalism in the area of aquaculture. Students will also be taught the fundamental of business and entrepreneurship to help the graduates to venture in aquaculture industries.","
 Duration:2 years","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass)/UEC Grade C in one relevant science subject AND English Language
","Intake:June and November 
Johor Branch Campus (R/624/4/0002) (04/26) (MQA/FA 7567)","Career Prospects:
Sales and Technical
Hatchery Technician
Farm Technician
Laboratory Technician","Estimated Total Fees: RM17,600 (Malaysian Student)

The estimated total fees may vary by 10%. ",,
Diploma in Banking and Finance,The curriculum of this programme focuses on the operation and management of banking institutions and the regulations governing the banking industry in Malaysia.,"
 Duration:2 years ","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language

","Intake: June and November (November intake only for KL main campus)
Campus:KL Main Campus (R/343/4/0255)(08/23)(AA0063), Penang (R/343/4/0254)(09/23)(AA0143) and Sabah Branch Campus  (R/343/4/0152)(08/24)(MQA/FA 3843).","Graduates of Diploma in Banking and Finance can secure employment in the banks and financial institutions in the following areas:

Credit Processing
Mortgage Sales
Treasury Services
Customer Relations at the Sub-professional Level & etc","Estimated Total Fees: RM17,200 (Malaysian Student), RM33,000 (International Student)",,
Diploma in Broadcast Communication,"This programme entails knowledge and skills for the technical understanding, writing, scripting, presenting and organising of traditional and new broadcast media. There are also specific courses designed to enhance the depth of knowledge and appreciation of the broadcast communication industry.","
Duration: 2 Years","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
","Intake: JUNE (KL/PG) & NOV (KL)
Kuala lumpur Main Campus (R/321/4/0087)(8/23)(AA 0083)
Penang Branch Campus (R/321/4/0106)(11/23)(MQA/FA 3524)","Career Prospects:
Director-Television and Radio
Film & Video Editor, News Editor
Videographer
Photographers
Radio & Television Announcer
Copy Writer for Broadcast and Internet-Based Media","Estimated Total Fees: RM18,000 (Malaysian Students), RM33,900 (International Students)

The estimated total fees may vary by 10%.",,
Diploma in Building,"The Diploma in Building [formerly known as Diploma in Technology (Building)] is designed to provide a fundamental academic base in the discipline of construction management and property development needed in the construction industry. This programme focuses on planning, co-ordination and control of the construction project from inception till completion stage and managing the production of design, tender and contract. Students will be equipped with sound building construction technology, measurement, cost estimating and general contract principles of Building Contracts and legal principles related to the construction industry. As the construction industry is undergoing digital transformation to embrace Industrial Revolution 4.0, we work collaboratively with industry partners to prepare our students ahead with fundamental skill set in Building Information Modelling (BIM). The programme will provide effective pathway for students to further their studies at bachelor degree level in the field of construction management.","
Duration: 2 Years","SPM with 3 credits in the relevant subjects which must include one Mathematics subject/ O Level with 3 Grade C in the relevant subjects which must include one Mathematics subject/ UEC with 3 Grade B in the relevant subjects which must include one Mathematics subject or equivalent qualification
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language
","Intake: January, July & November
KL Main Campur, Penang Branch","Career Prospects:
Graduates can be employed as:

Construction Coordinator
Site Supervisor
Planner
Building Inspector
Purchasing Coordinator
Contract Administrator
And gradually, the graduate with experienced can be employed as :
Assistant Construction Manager / Construction Manager
Assistant Prooject Manager/Project Manager
Planner Engineer
Contract Manager","Estimated Total Fees: (RM) 18,200 – Malaysian Students

                                   (RM) 34,200 – International Students",,
Diploma in Business Administration,This programme is designed for students to acquire the basic understanding of business administration and to develop the requisite administrative skills required in the job market. It provides opportunities to school leavers who wish to obtain a business administration qualification to embark on a business-related career. It also enables them to proceed to higher level of studies.,"
Duration: 2 Years ","SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language
","Intake:
June and November (June intake for all campuses, while November intake for all except Penang Branch Campus)
Campus:KL Main Campus (R/340/4/0287)(08/23)(MQA/FA 10791), Penang (R/340/4/0305)(09/23)(MQA/FA 10817), Perak (R/340/4/0315)(09/23)(MQA/FA 10855), Johor (R/340/4/0321)(09/23)(MQA/FA 10859), Sabah (R/340/4/0300)(12/23)(MQA/FA 10819) and Pahang (R/340/4/0370)(12/23)(MQA/FA 10787) Branch Campuses","Graduates of Diploma in Business Administration can seek employment at the sub-professional level in a wide variety of management and administrative positions both in the private and public sectors in the following areas:

Business Administration
Business Operation
Human Resource Management
Sales and Marketing
Business Consultancy & etc","Estimated Total Fees: RM17,400 (Malaysian Student), RM33,300 (International Student)",,
Diploma in Business Economics,This programme is designed to provide a thorough and rigorous learning of principles of economics and their applications in the context of business organisations. It enables students to develop and be able to justify their own views on significant ideas and concepts in the field of economics.,"
Duration: 2 Years","SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:
June and November (November intake only for KL main campus)
 Campus:KL Main Campus (R/340/4/0293)(08/23)(AA0064)","Graduates of Diploma in Business Economics can seek employment such as:

Assistant Researcher
Administrative Executive
Bank Executive
Finance Executive & etc","Estimated Total Fees: RM17,400 (Malaysian Student), RM33,300 (International Student)",,
Diploma in Communication and Media Studies,"This programme aims to provide students a holistic exposure of media especially in this era of convergence. Students will have greater understanding of the mass media  their functions, impact and future direction. Students will also acquire writing, speaking and audio-visual production skills that enhance their employment for the multifaceted media industries.","
Duration:2 Years","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: SPM Credit/0 Level Grade C/UEC Grade B in English Language","Intakes:JUNE & NOV (PK）
Campus:Perak Branch Campus (R/321/4/0213)(04/27)(MQA/FA 7542)","Career Prospects:
Advertising
Public relations
Print media and electronic media
Writers
Producers of information
Media planner","Estimated Total Fees: RM18,200 (Malaysian Students)

The estimated total fees may vary by 10%.",,
Diploma in Computer Science,"Students are trained in both theoretical knowledge and practical skills for software development, system design and related mathematical techniques. ","
Duration:
2 years","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Credit in Additional Mathematics/O Level Grade C in Mathematics-Additional/UEC Grade B in one mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language
","Intake:June
Campuses:
KL - Kuala Lumpur Main Campus
(R/481/4/0345)(08/23)(AA0109)
PG - Penang Branch Campus
(R/481/4/0354)(09/23)(AA0139)"," Career Prospects:
Junior Analyst Programmers
Junior Systems Analysts
Junior Software Engineers
Junior Systems Engineers
Junior Research Officers
Junior Quantitative Analysts
Junior Software Developers","Estimated Total Fees : RM 17,600 (Malaysian Student), RM33,300 (International Student)

The estimated total fees may vary by 10%",,
